filename,path,category,video_id,frame_index,sequence_length,width,height,fire_boxes,smoke_boxes,is_negative
bothFireAndSmoke_CV000000.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000000.jpg,video_frame,bothFireAndSmoke_video_0001,0,432,1280,720,1,1,False
bothFireAndSmoke_CV000001.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000001.jpg,video_frame,bothFireAndSmoke_video_0001,1,432,1280,720,1,1,False
bothFireAndSmoke_CV000002.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000002.jpg,video_frame,bothFireAndSmoke_video_0001,2,432,1280,720,1,1,False
bothFireAndSmoke_CV000003.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000003.jpg,video_frame,bothFireAndSmoke_video_0001,3,432,1280,720,1,1,False
bothFireAndSmoke_CV000004.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000004.jpg,video_frame,bothFireAndSmoke_video_0001,4,432,1280,720,1,1,False
bothFireAndSmoke_CV000005.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000005.jpg,video_frame,bothFireAndSmoke_video_0001,5,432,1280,720,1,1,False
bothFireAndSmoke_CV000006.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000006.jpg,video_frame,bothFireAndSmoke_video_0001,6,432,1280,720,1,1,False
bothFireAndSmoke_CV000007.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000007.jpg,video_frame,bothFireAndSmoke_video_0001,7,432,1280,720,1,1,False
bothFireAndSmoke_CV000008.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000008.jpg,video_frame,bothFireAndSmoke_video_0001,8,432,1280,720,1,1,False
bothFireAndSmoke_CV000009.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000009.jpg,video_frame,bothFireAndSmoke_video_0001,9,432,1280,720,1,1,False
bothFireAndSmoke_CV000010.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000010.jpg,video_frame,bothFireAndSmoke_video_0001,10,432,1280,720,1,1,False
bothFireAndSmoke_CV000011.jpg,C:/Users/phong/Downloads/Fire/FASDD_CV/images/bothFireAndSmoke_CV000011.jpg,video_frame,bothFireAndSmoke_video_0001,11,432,1280,720,1,1,False
